No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#250,,Ho-Oh,fire,flying,Pressure,,Regenerator,106,130,90,110,154,90,680,"[['1', 'Weather Ball', 'NORMAL', 'special', '50', '100'], ['1', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['9', 'Gust', 'FLYING', 'special', '40', '100'], ['15', 'Brave Bird', 'FLYING', 'physical', '120', '100'], ['23', 'Extrasensory', 'PSYCHIC', 'special', '80', '100'], ['29', 'Sunny Day', 'FIRE', 'status', '-', '-'], ['37', 'Fire Blast', 'FIRE', 'special', '110', '85'], ['43', 'Sacred Fire', 'FIRE', 'physical', '100', '95'], ['50', 'Punishment', 'DARK', 'physical', '-', '100'], ['57', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['65', 'Safeguard', 'NORMAL', 'status', '-', '-'], ['71', 'Recover', 'NORMAL', 'status', '-', '-'], ['79', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['85', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['93', 'Calm Mind', 'PSYCHIC', 'status', '-', '-'], ['99', 'Sky Attack', 'FLYING', 'physical', '140', '90']]"
#251,,Celebi,psychic,grass,Natural Cure,,,100,100,100,100,100,100,600,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Heal Bell', 'NORMAL', 'status', '-', '-'], ['1', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['1', 'Recover', 'NORMAL', 'status', '-', '-'], ['10', 'Safeguard', 'NORMAL', 'status', '-', '-'], ['19', 'Magical Leaf', 'GRASS', 'special', '60', '?'], ['28', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['37', 'Baton Pass', 'NORMAL', 'status', '-', '-'], ['46', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['55', 'Heal Block', 'PSYCHIC', 'status', '-', '100'], ['64', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['73', 'Healing Wish', 'PSYCHIC', 'status', '-', '-'], ['82', 'Leaf Storm', 'GRASS', 'special', '130', '90'], ['91', 'Perish Song', 'NORMAL', 'status', '-', '-']]"
#252,,Treecko,grass,,Overgrow,,Unburden,40,45,35,65,55,70,310,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['17', 'Pursuit', 'DARK', 'physical', '40', '100'], ['21', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['25', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['29', 'Slam', 'NORMAL', 'physical', '80', '75'], ['33', 'Detect', 'FIGHTING', 'status', '-', '-'], ['37', 'Energy Ball', 'GRASS', 'special', '90', '100'], ['41', 'Quick Guard', 'FIGHTING', 'status', '-', '-'], ['45', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['49', 'Screech', 'NORMAL', 'status', '-', '85']]"
#253,,Grovyle,grass,,Overgrow,,Unburden,50,65,45,85,65,95,405,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['18', 'Pursuit', 'DARK', 'physical', '40', '100'], ['23', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['28', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['33', 'Slam', 'NORMAL', 'physical', '80', '75'], ['38', 'Detect', 'FIGHTING', 'status', '-', '-'], ['43', 'X-Scissor', 'BUG', 'physical', '80', '100'], ['48', 'False Swipe', 'NORMAL', 'physical', '40', '100'], ['53', 'Quick Guard', 'FIGHTING', 'status', '-', '-'], ['58', 'Leaf Storm', 'GRASS', 'special', '130', '90'], ['63', 'Screech', 'NORMAL', 'status', '-', '85']]"
#254,,Sceptile,grass,,Overgrow,,Unburden,70,85,65,105,85,120,530,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Dual Chop', 'DRAGON', 'physical', '40', '90'], ['1', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['1', 'Leaf Storm', 'GRASS', 'special', '130', '90'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Night Slash', 'DARK', 'physical', '70', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['5', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['18', 'Pursuit', 'DARK', 'physical', '40', '100'], ['23', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['28', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['33', 'Slam', 'NORMAL', 'physical', '80', '75'], ['39', 'Detect', 'FIGHTING', 'status', '-', '-'], ['45', 'X-Scissor', 'BUG', 'physical', '80', '100'], ['51', 'False Swipe', 'NORMAL', 'physical', '40', '100'], ['57', 'Quick Guard', 'FIGHTING', 'status', '-', '-'], ['63', 'Leaf Storm', 'GRASS', 'special', '130', '90'], ['69', 'Screech', 'NORMAL', 'status', '-', '85']]"
#255,,Torchic,fire,,Blaze,,Speed Boost,45,60,40,70,50,45,310,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['5', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['14', 'Peck', 'FLYING', 'physical', '35', '100'], ['19', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['23', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['28', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['32', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['37', 'Slash', 'NORMAL', 'physical', '70', '100'], ['41', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['46', 'Flamethrower', 'FIRE', 'special', '90', '100']]"
#256,,Combusken,fire,fighting,Blaze,,Speed Boost,60,85,60,85,60,55,405,"[['1', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['5', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['14', 'Peck', 'FLYING', 'physical', '35', '100'], ['20', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['25', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['31', 'Bulk Up', 'FIGHTING', 'status', '-', '-'], ['36', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['42', 'Slash', 'NORMAL', 'physical', '70', '100'], ['47', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['53', 'Sky Uppercut', 'FIGHTING', 'physical', '85', '90'], ['58', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#257,,Blaziken,fire,fighting,Blaze,,Speed Boost,80,120,70,110,70,80,530,"[['1', 'Blaze Kick', 'FIRE', 'physical', '85', '90'], ['1', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Fire Punch', 'FIRE', 'physical', '75', '100'], ['1', 'Flare Blitz', 'FIRE', 'physical', '120', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'High Jump Kick', 'FIGHTING', 'physical', '130', '90'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['5', 'Ember', 'FIRE', 'special', '40', '100'], ['10', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['14', 'Peck', 'FLYING', 'physical', '35', '100'], ['20', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['25', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['31', 'Bulk Up', 'FIGHTING', 'status', '-', '-'], ['37', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['44', 'Slash', 'NORMAL', 'physical', '70', '100'], ['50', 'Brave Bird', 'FLYING', 'physical', '120', '100'], ['57', 'Sky Uppercut', 'FIGHTING', 'physical', '85', '90'], ['63', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#258,,Mudkip,water,,Torrent,,Damp,50,70,50,50,50,40,310,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Water Gun', 'WATER', 'special', '40', '100'], ['9', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['12', 'Foresight', 'NORMAL', 'status', '-', '-'], ['17', 'Bide', 'NORMAL', 'physical', '-', '-'], ['20', 'Mud Sport', 'GROUND', 'status', '-', '-'], ['25', 'Rock Throw', 'ROCK', 'physical', '50', '90'], ['28', 'Protect', 'NORMAL', 'status', '-', '-'], ['33', 'Whirlpool', 'WATER', 'special', '35', '85'], ['36', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['41', 'Hydro Pump', 'WATER', 'special', '110', '80'], ['44', 'Endeavor', 'NORMAL', 'physical', '-', '100']]"
#259,,Marshtomp,water,ground,Torrent,,Damp,70,85,70,60,70,50,405,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Mud Shot', 'GROUND', 'special', '55', '95'], ['1', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['4', 'Water Gun', 'WATER', 'special', '40', '100'], ['9', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['12', 'Foresight', 'NORMAL', 'status', '-', '-'], ['18', 'Bide', 'NORMAL', 'physical', '-', '-'], ['22', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['28', 'Rock Slide', 'ROCK', 'physical', '75', '90'], ['32', 'Protect', 'NORMAL', 'status', '-', '-'], ['38', 'Muddy Water', 'WATER', 'special', '90', '85'], ['42', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['48', 'Earthquake', 'GROUND', 'physical', '100', '100'], ['52', 'Endeavor', 'NORMAL', 'physical', '-', '100']]"
#260,,Swampert,water,ground,Torrent,,Damp,100,110,90,85,90,60,535,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Hammer Arm', 'FIGHTING', 'physical', '100', '90'], ['1', 'Mud Shot', 'GROUND', 'special', '55', '95'], ['1', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['4', 'Water Gun', 'WATER', 'special', '40', '100'], ['9', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['12', 'Foresight', 'NORMAL', 'status', '-', '-'], ['18', 'Bide', 'NORMAL', 'physical', '-', '-'], ['22', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['28', 'Rock Slide', 'ROCK', 'physical', '75', '90'], ['32', 'Protect', 'NORMAL', 'status', '-', '-'], ['39', 'Muddy Water', 'WATER', 'special', '90', '85'], ['44', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['51', 'Earthquake', 'GROUND', 'physical', '100', '100'], ['56', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['63', 'Hammer Arm', 'FIGHTING', 'physical', '100', '90']]"
#261,,Poochyena,dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Howl', 'NORMAL', 'status', '-', '-'], ['7', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['10', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['16', 'Roar', 'NORMAL', 'status', '-', '-'], ['19', 'Swagger', 'NORMAL', 'status', '-', '85'], ['22', 'Assurance', 'DARK', 'physical', '60', '100'], ['25', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['28', 'Embargo', 'DARK', 'status', '-', '100'], ['31', 'Taunt', 'DARK', 'status', '-', '100'], ['34', 'Crunch', 'DARK', 'physical', '80', '100'], ['37', 'Yawn', 'NORMAL', 'status', '-', '-'], ['40', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['43', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['46', 'Play Rough', 'FAIRY', 'physical', '90', '90']]"
#262,,Mightyena,dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Crunch', 'DARK', 'physical', '80', '100'], ['1', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['1', 'Howl', 'NORMAL', 'status', '-', '-'], ['1', 'Ice Fang', 'ICE', 'physical', '65', '95'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Snarl', 'DARK', 'special', '55', '95'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Thief', 'DARK', 'physical', '60', '100'], ['1', 'Thunder Fang', 'ELECTRIC', 'physical', '65', '95'], ['4', 'Howl', 'NORMAL', 'status', '-', '-'], ['7', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['10', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['16', 'Roar', 'NORMAL', 'status', '-', '-'], ['20', 'Swagger', 'NORMAL', 'status', '-', '85'], ['24', 'Assurance', 'DARK', 'physical', '60', '100'], ['28', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['32', 'Embargo', 'DARK', 'status', '-', '100'], ['36', 'Taunt', 'DARK', 'status', '-', '100'], ['40', 'Crunch', 'DARK', 'physical', '80', '100'], ['44', 'Yawn', 'NORMAL', 'status', '-', '-'], ['48', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['52', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['56', 'Play Rough', 'FAIRY', 'physical', '90', '90']]"
#263,,Zigzagoon,normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['11', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['12', 'Baby-Doll Eyes', 'FAIRY', 'status', '-', '100'], ['13', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['17', 'Mud Sport', 'GROUND', 'status', '-', '-'], ['19', 'Pin Missile', 'BUG', 'physical', '25', '95'], ['23', 'Covet', 'NORMAL', 'physical', '60', '100'], ['25', 'Bestow', 'NORMAL', 'status', '-', '-'], ['29', 'Flail', 'NORMAL', 'physical', '-', '100'], ['31', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['35', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['37', 'Belly Drum', 'NORMAL', 'status', '-', '-'], ['41', 'Fling', 'DARK', 'physical', '-', '100']]"
#264,,Linoone,normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Play Rough', 'FAIRY', 'physical', '90', '90'], ['1', 'Rototiller', 'GROUND', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Switcheroo', 'DARK', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['5', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['11', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['13', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['17', 'Mud Sport', 'GROUND', 'status', '-', '-'], ['19', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['24', 'Covet', 'NORMAL', 'physical', '60', '100'], ['27', 'Bestow', 'NORMAL', 'status', '-', '-'], ['32', 'Slash', 'NORMAL', 'physical', '70', '100'], ['35', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['40', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['43', 'Belly Drum', 'NORMAL', 'status', '-', '-'], ['48', 'Fling', 'DARK', 'physical', '-', '100']]"
#265,,Wurmple,bug,,Shield Dust,,Run Away,45,45,35,20,30,20,195,"[['1', 'String Shot', 'BUG', 'status', '-', '95'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['15', 'Bug Bite', 'BUG', 'physical', '60', '100']]"
#266,,Silcoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,"[['1', 'Harden', 'NORMAL', 'status', '-', '-']]"
#267,,Beautifly,bug,flying,Swarm,,Rivalry,60,70,50,100,50,65,395,"[['1', 'Gust', 'FLYING', 'special', '40', '100'], ['12', 'Absorb', 'GRASS', 'special', '20', '100'], ['15', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['17', 'Morning Sun', 'NORMAL', 'status', '-', '-'], ['20', 'Air Cutter', 'FLYING', 'special', '60', '95'], ['22', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['25', 'Silver Wind', 'BUG', 'special', '60', '100'], ['27', 'Attract', 'NORMAL', 'status', '-', '100'], ['30', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['32', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['35', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['37', 'Rage', 'NORMAL', 'physical', '20', '100'], ['40', 'Quiver Dance', 'BUG', 'status', '-', '-']]"
#268,,Cascoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,"[['1', 'Harden', 'NORMAL', 'status', '-', '-']]"
#269,,Dustox,bug,poison,Shield Dust,,Compoundeyes,60,50,70,50,90,65,385,"[['1', 'Gust', 'FLYING', 'special', '40', '100'], ['12', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['15', 'Poison Powder', 'POISON', 'status', '-', '75'], ['17', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['20', 'Venoshock', 'POISON', 'special', '65', '100'], ['22', 'Psybeam', 'PSYCHIC', 'special', '65', '100'], ['25', 'Silver Wind', 'BUG', 'special', '60', '100'], ['27', 'Light Screen', 'PSYCHIC', 'status', '-', '-'], ['30', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['32', 'Toxic', 'POISON', 'status', '-', '90'], ['35', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['37', 'Protect', 'NORMAL', 'status', '-', '-'], ['40', 'Quiver Dance', 'BUG', 'status', '-', '-']]"
#270,,Lotad,water,grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['3', 'Growl', 'NORMAL', 'status', '-', '100'], ['6', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Bubble', 'WATER', 'special', '40', '100'], ['12', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['15', 'Mist', 'ICE', 'status', '-', '-'], ['18', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['21', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['24', 'Nature Power', 'NORMAL', 'status', '-', '-'], ['27', 'Rain Dance', 'WATER', 'status', '-', '-'], ['30', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['33', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['36', 'Energy Ball', 'GRASS', 'special', '90', '100']]"
#271,,Lombre,water,grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['3', 'Growl', 'NORMAL', 'status', '-', '100'], ['6', 'Absorb', 'GRASS', 'special', '20', '100'], ['9', 'Bubble', 'WATER', 'special', '40', '100'], ['12', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['16', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['20', 'Water Sport', 'WATER', 'status', '-', '-'], ['24', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['28', 'Nature Power', 'NORMAL', 'status', '-', '-'], ['32', 'Uproar', 'NORMAL', 'special', '90', '100'], ['36', 'Knock Off', 'DARK', 'physical', '65', '100'], ['40', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['44', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#272,,Ludicolo,water,grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['1', 'Nature Power', 'NORMAL', 'status', '-', '-']]"
#273,,Seedot,grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,"[['1', 'Bide', 'NORMAL', 'physical', '-', '-'], ['3', 'Harden', 'NORMAL', 'status', '-', '-'], ['9', 'Growth', 'NORMAL', 'status', '-', '-'], ['15', 'Nature Power', 'NORMAL', 'status', '-', '-'], ['21', 'Synthesis', 'GRASS', 'status', '-', '-'], ['27', 'Sunny Day', 'FIRE', 'status', '-', '-'], ['33', 'Explosion', 'NORMAL', 'physical', '250', '100']]"
#274,,Nuzleaf,grass,dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,"[['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['3', 'Harden', 'NORMAL', 'status', '-', '-'], ['6', 'Growth', 'NORMAL', 'status', '-', '-'], ['9', 'Torment', 'DARK', 'status', '-', '100'], ['12', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['16', 'Nature Power', 'NORMAL', 'status', '-', '-'], ['20', 'Razor Wind', 'NORMAL', 'special', '80', '100'], ['24', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['28', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['32', 'Swagger', 'NORMAL', 'status', '-', '85'], ['36', 'Extrasensory', 'PSYCHIC', 'special', '80', '100']]"
#275,,Shiftry,grass,dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,"[['1', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['1', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['1', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['1', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['20', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['32', 'Hurricane', 'FLYING', 'special', '110', '70'], ['44', 'Leaf Storm', 'GRASS', 'special', '130', '90']]"
#276,,Taillow,normal,flying,Guts,,Scrappy,40,55,30,30,30,85,270,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['5', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['9', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['17', 'Double Team', 'NORMAL', 'status', '-', '-'], ['21', 'Aerial Ace', 'FLYING', 'physical', '60', '?'], ['25', 'Quick Guard', 'FIGHTING', 'status', '-', '-'], ['29', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['33', 'Air Slash', 'FLYING', 'special', '75', '95'], ['37', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['41', 'Brave Bird', 'FLYING', 'physical', '120', '100'], ['45', 'Reversal', 'FIGHTING', 'physical', '-', '100']]"
#277,,Swellow,normal,flying,Guts,,Scrappy,60,85,60,75,50,125,455,"[['1', 'Air Slash', 'FLYING', 'special', '75', '95'], ['1', 'Brave Bird', 'FLYING', 'physical', '120', '100'], ['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['1', 'Pluck', 'FLYING', 'physical', '60', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['5', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['9', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['17', 'Double Team', 'NORMAL', 'status', '-', '-'], ['21', 'Aerial Ace', 'FLYING', 'physical', '60', '?'], ['27', 'Quick Guard', 'FIGHTING', 'status', '-', '-'], ['33', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['39', 'Air Slash', 'FLYING', 'special', '75', '95'], ['45', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['51', 'Brave Bird', 'FLYING', 'physical', '120', '100'], ['57', 'Reversal', 'FIGHTING', 'physical', '-', '100']]"
#278,,Wingull,water,flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['8', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['12', 'Mist', 'ICE', 'status', '-', '-'], ['15', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['22', 'Air Cutter', 'FLYING', 'special', '60', '95'], ['26', 'Pursuit', 'DARK', 'physical', '40', '100'], ['29', 'Aerial Ace', 'FLYING', 'physical', '60', '?'], ['33', 'Roost', 'FLYING', 'status', '-', '-'], ['36', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['40', 'Air Slash', 'FLYING', 'special', '75', '95'], ['43', 'Hurricane', 'FLYING', 'special', '110', '70']]"
